ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
1165,63.528,200620_060709_0000000079_CAM2_OK.bmp,49.202,200620_060717_0000000080_CAM2_OK.bmp,M,1.085861238,0.767520861,0.085861238,0.302896182,1.098341017,0.771361733,0.098341017,0.296408621,65.992,65.631,3
1166,63.658,200620_060730_0000000081_CAM2_OK.bmp,47.376,200620_060736_0000000082_CAM2_OK.bmp,No result,1.048712991,0.739747515,0.048712991,0.351812584,1.052498764,0.744012385,0.052498764,0.344063647,60.347,59.99,3
1211,61.951,200620_060820_0000000083_CAM2_OK.bmp,47.755,200620_060844_0000000084_CAM2_OK.bmp,F,1.097431748,0.740342695,0.097431748,0.350725829,1.099858309,0.745517985,0.099858309,0.341349262,61.617,61.24,3
1212,65.133,200620_060857_0000000085_CAM2_OK.bmp,45.943,200620_060905_0000000086_CAM2_OK.bmp,M,1.118793266,0.718356009,0.118793266,0.392067426,1.130004981,0.723475361,0.130004981,0.382217078,54.718,54.362,3
1213,63.472,200620_060925_0000000087_CAM2_OK.bmp,43.612,200620_060930_0000000088_CAM2_OK.bmp,M,1.142032219,0.734113491,0.142032219,0.362187199,1.105509268,0.737072452,0.105509268,0.356718728,58.161,57.873,3
1214,65.122,200620_060959_0000000089_CAM2_OK.bmp,48.377,200620_061005_0000000090_CAM2_OK.bmp,F,1.018006805,0.734140749,0.018006805,0.362136623,1.036056048,0.736842657,0.036056048,0.357141842,60.275,59.957,3
1215,60.515,200620_061026_0000000091_CAM2_OK.bmp,46.176,200620_061031_0000000092_CAM2_OK.bmp,F,1.064011092,0.753463171,0.064011092,0.327204883,1.052956202,0.757675219,0.052956202,0.319826722,57.542,57.116,3
1216,66.682,200620_061043_0000000093_CAM2_OK.bmp,48.475,200620_061048_0000000094_CAM2_OK.bmp,M,1.152796289,0.710506947,0.152796289,0.407445775,1.141502505,0.7181284,0.141502505,0.392508637,52.385,52.07,3
1221,63.679,200620_061106_0000000095_CAM2_OK.bmp,47.711,200620_061116_0000000096_CAM2_OK.bmp,M,1.069634533,0.743218911,0.069634533,0.345498595,1.072275636,0.747880812,0.072275636,0.337111454,57.075,56.745,3
1222,66.008,200620_061125_0000000097_CAM2_OK.bmp,49.381,200620_061129_0000000098_CAM2_OK.bmp,M,1.078973777,0.737934782,0.078973777,0.355133305,1.071786209,0.741533751,0.071786209,0.348556285,51.009,50.676,3
1223,64.585,200620_061140_0000000099_CAM2_OK.bmp,48.055,200620_061146_0000000100_CAM2_OK.bmp,M,1.081121775,0.758594465,0.081121775,0.318227388,1.091386184,0.757893943,0.091386184,0.319445827,59.123,58.786,3
1224,63.498,200620_061206_0000000101_CAM2_OK.bmp,46.35,200620_061229_0000000102_CAM2_OK.bmp,F,1.08461137,0.718681378,0.08461137,0.391437195,1.071589682,0.726291839,0.071589682,0.376856996,59.937,59.587,3
1225,65.414,200620_061242_0000000103_CAM2_OK.bmp,48.116,200620_061254_0000000104_CAM2_OK.bmp,M,1.154742165,0.720852807,0.154742165,0.387245759,1.154453116,0.722894431,0.154453116,0.383327851,64.56,64.223,3
1226,67.886,200620_061309_0000000105_CAM2_OK.bmp,50.435,200620_061314_0000000106_CAM2_OK.bmp,F,1.128267244,0.734210847,0.128267244,0.362006574,1.125370296,0.741392884,0.125370296,0.348812514,61.061,60.718,3
1231,64.876,200620_061332_0000000107_CAM2_OK.bmp,47.959,200620_061337_0000000108_CAM2_OK.bmp,F,1.145026683,0.725506961,0.145026683,0.378346527,1.105494747,0.730439762,0.105494747,0.369038286,60.399,60.058,3
1232,64.994,200620_061349_0000000109_CAM2_OK.bmp,47.375,200620_061353_0000000110_CAM2_OK.bmp,M,1.069556742,0.750263549,0.069556742,0.332864967,1.067255642,0.758884489,0.067255642,0.317723599,55.539,55.178,3
1233,63.969,200620_061407_0000000111_CAM2_OK.bmp,48.605,200620_061411_0000000112_CAM2_OK.bmp,M,1.117966509,0.748304254,0.117966509,0.336354824,1.130006307,0.75378135,0.130006307,0.326644657,60.491,60.084,3
1234,63.708,200620_061431_0000000113_CAM2_OK.bmp,48.352,200620_061441_0000000114_CAM2_OK.bmp,F,1.097968678,0.728812892,0.097968678,0.372094279,1.103683382,0.735960285,0.103683382,0.358768972,54.724,54.404,3
1235,62.869,200620_061459_0000000115_CAM2_OK.bmp,48.435,200620_061503_0000000116_CAM2_OK.bmp,M,1.089689426,0.755659436,0.089689426,0.323347466,1.073223883,0.763139421,0.073223883,0.310376548,60.017,59.682,3
1236,62.306,200620_061522_0000000117_CAM2_OK.bmp,48.948,200620_061527_0000000118_CAM2_OK.bmp,M,1.085646062,0.775512015,0.085646062,0.289470673,1.109567512,0.779094193,0.109567512,0.283541848,58.967,58.647,3
1241,63.816,200620_061551_0000000119_CAM2_OK.bmp,49.011,200620_061555_0000000120_CAM2_OK.bmp,M,1.081057879,0.762564246,0.081057879,0.311364919,1.082183168,0.767035681,0.082183168,0.303720315,62.34,61.942,3
1242,62.804,200620_061605_0000000121_CAM2_OK.bmp,47.631,200620_061616_0000000122_CAM2_OK.bmp,M,1.066940945,0.750548463,0.066940945,0.332359001,1.065115087,0.753647386,0.065115087,0.326880473,53.208,52.668,3
1243,62.77,200620_061634_0000000123_CAM2_OK.bmp,48.916,200620_061639_0000000124_CAM2_OK.bmp,F,1.080583292,0.752406714,0.080583292,0.329068417,1.058588484,0.756851281,0.058588484,0.321263536,56.079,55.716,3
1244,65.329,200620_061659_0000000125_CAM2_OK.bmp,47.395,200620_061703_0000000126_CAM2_OK.bmp,F,1.096147405,0.742749733,0.096147405,0.346348515,1.088025625,0.749761018,0.088025625,0.333758326,52.599,52.226,3
1245,65.34,200620_061720_0000000127_CAM2_OK.bmp,47.516,200620_061726_0000000128_CAM2_OK.bmp,M,1.075335917,0.708422739,0.075335917,0.411586535,1.076536338,0.714052121,0.076536338,0.400457992,57.723,57.4,3
1246,58.802,200620_061738_0000000129_CAM2_OK.bmp,47.971,200620_061748_0000000130_CAM2_OK.bmp,M,1.099194801,0.762985635,0.099194801,0.310640665,1.090032207,0.769231492,0.090032207,0.299998779,55.482,55.146,3
1251,65.356,200620_061921_0000000131_CAM2_OK.bmp,46.97,200620_061926_0000000132_CAM2_OK.bmp,F,1.101184315,0.71140206,0.101184315,0.405674872,1.089512818,0.717043792,0.089512818,0.394614961,55.871,55.459,3
1252,64.35,200620_061938_0000000133_CAM2_OK.bmp,49.253,200620_061945_0000000134_CAM2_OK.bmp,M,1.12073258,0.756661104,0.12073258,0.321595619,1.078787972,0.766927556,0.078787972,0.303904121,59.298,58.92,3
1253,66.266,200620_062008_0000000135_CAM2_OK.bmp,47.381,200620_062014_0000000136_CAM2_OK.bmp,Not fertile,1.112395266,0.734430134,0.112395266,0.361599904,1.107777709,0.740170871,0.107777709,0.351039388,60.433,60.08,3
1254,65.256,200620_062036_0000000137_CAM2_OK.bmp,50.529,200620_062043_0000000138_CAM2_OK.bmp,M,1.073277381,0.758630536,0.073277381,0.31816471,1.093060359,0.762357761,0.093060359,0.311720103,59.544,59.159,3
1255,63.714,200620_062059_0000000139_CAM2_OK.bmp,46.994,200620_062104_0000000140_CAM2_OK.bmp,Not fertile,1.095234319,0.72755141,0.095234319,0.374473317,1.084373586,0.732332273,0.084373586,0.365500384,61.31,60.897,3
1256,61.625,200620_062120_0000000141_CAM2_OK.bmp,47.613,200620_062155_0000000142_CAM2_OK.bmp,M,1.118654299,0.734183295,0.118654299,0.362057686,1.148934224,0.7455031,0.148934224,0.341376046,61.381,60.961,3
